date_left	date_right	date_center	date_mean	num_allele	num_alt_allele	af	af_low	af_up	date_normalized	pt	pt_low	pt_up
7500	8500.0	8000.0	7842.6731517509725	514	308.0	0.5992217898832685	0.5565	0.6409	-137.93103448275863	0.5826346265263704	0.5281786038647862	0.6338363927839967
7600	8600.0	8100.0	8009.812834224599	374	217.0	0.5802139037433155	0.5299	0.6294000000000001	-139.6551724137931	0.5834845752170633	0.5283293948459332	0.6352805134095499
7700	8700.0	8200.0	8085.301775147929	338	199.0	0.5887573964497042	0.5359	0.6402	-141.3793103448276	0.5843340278780813	0.5285030477858639	0.63672220248781
7800	8800.0	8300.0	8143.809210526316	304	180.0	0.5921052631578947	0.5364	0.6462	-143.10344827586206	0.5851829797562546	0.5287566846540669	0.638161438257851
7900	8900.0	8400.0	8268.829457364342	258	162.0	0.627906976744186	0.5680000000000001	0.6852	-144.82758620689654	0.586031426110134	0.529010306607217	0.6394999576282523
8000	9000.0	8500.0	8368.930693069307	202	126.0	0.6237623762376238	0.556	0.6885	-146.55172413793105	0.5868793622100914	0.5292639135137436	0.6408236979464462
8100	9100.0	8600.0	8466.954022988506	174	109.0	0.6264367816091954	0.5534	0.6958000000000001	-148.27586206896552	0.587726783338419	0.5295175052421071	0.6421452971140106
8200	9200.0	8700.0	8569.111111111111	162	106.0	0.654320987654321	0.5794	0.7244	-150.0	0.5885736847894286	0.5297710816608002	0.6434647385419561
8300	9300.0	8800.0	8665.231884057972	138	91.0	0.6594202898550725	0.5784	0.7347	-151.72413793103448	0.5894200618695509	0.5300246426383478	0.6447820057666509
8400	9400.0	8900.0	8820.983333333334	120	78.0	0.65	0.5627	0.731	-153.44827586206895	0.5902659098974321	0.5302781880433063	0.6460970824504523
8500	9500.0	9000.0	8977.074074074075	108	72.0	0.6666666666666666	0.5752	0.7504000000000001	-155.17241379310346	0.5911112242040327	0.5305317177442656	0.647409952382323
8600	9700.0	9150.0	9076.84	100	63.0	0.63	0.5337000000000001	0.7198	-157.75862068965517	0.5923781847535723	0.5309119825633262	0.6493750844718121
8700	9900.0	9300.0	9234.941176470587	102	62.0	0.6078431372549019	0.512	0.6984	-160.3448275862069	0.5936439182924836	0.5312922113095371	0.6513351614676144
8800	10000.0	9400.0	9390.25	104	58.0	0.5576923076923077	0.46240000000000003	0.6502	-162.06896551724137	0.5944870512732094	0.5315456768810557	0.6526390448342791
8900	10100.0	9500.0	9483.884615384615	104	56.0	0.5384615384615384	0.4433	0.6318	-163.79310344827587	0.5953296273755256	0.5317991260920212	0.6539406423134785
9000	10200.0	9600.0	9607.36	100	54.0	0.54	0.443	0.6351	-165.51724137931035	0.596171642006285	0.5320525588112243	0.6552399384659408
9100	10400.0	9750.0	9706.96	100	57.0	0.57	0.47290000000000004	0.6637000000000001	-168.10344827586206	0.5974336011777073	0.5324326766810393	0.6571845342549012
9200	10600.0	9900.0	9881.78431372549	102	58.0	0.5686274509803921	0.47240000000000004	0.6614	-170.68965517241378	0.5986942713329795	0.5328127567066872	0.6591238665308492
9300	10700.0	10000.0	9979.75	104	59.0	0.5673076923076923	0.47200000000000003	0.6593	-172.41379310344828	0.5995339944069893	0.5330661221474435	0.6604138056012822
9400	10900.0	10150.0	10131.078431372549	102	57.0	0.5588235294117647	0.4626	0.6521	-175.0	0.6007924821554229	0.533396346958241	0.6623442535820534
9500	11400.0	10450.0	10217.88	100	57.0	0.57	0.47290000000000004	0.6637000000000001	-180.17241379310346	0.6033054532131985	0.5339388340426773	0.6661838463801621
9600	12400.0	11000.0	10375.7	100	54.0	0.54	0.443	0.6351	-189.6551724137931	0.6078983516137653	0.5349331840330173	0.6733578006866799
9700	13300.0	11500.0	10567.74	100	57.0	0.57	0.47290000000000004	0.6637000000000001	-198.27586206896552	0.6120572288332048	0.5358368975476193	0.6799819756324534
9800	13500.0	11650.0	10715.4	100	56.0	0.56	0.46290000000000003	0.6542	-200.86206896551724	0.6133017454819774	0.536108979989596	0.6819553108686629
9900	18100.0	14000.0	11210.981481481482	108	62.0	0.5740740740740741	0.4806	0.6642	-241.3793103448276	0.6325971547287296	0.5403952132396115	0.7125726236791553
